"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"70","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","63","Found 'DD'-anomaly for variable 'viewName' (lines '63'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"71","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","65","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"72","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","66","Found 'DD'-anomaly for variable 'viewName' (lines '66'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"73","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","66","Found 'DD'-anomaly for variable 'viewName' (lines '66'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"74","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","1","68","Avoid using equals() to compare against null","Design Rules","EqualsNull"
"75","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","68","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"76","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","71","Found 'DD'-anomaly for variable 'viewName' (lines '71'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"77","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","75","The String literal 'message' appears 15 times in this file; the first occurrence is on line 75","String and StringBuffer Rules","AvoidDuplicateLiterals"
"78","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","80","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"79","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","87","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","88","Local variable 'userBean' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"81","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","101","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"82","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","106","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"83","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","107","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"84","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","118","Found 'DD'-anomaly for variable 'locationList' (lines '118'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"85","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","120","Found 'DD'-anomaly for variable 'viewname1' (lines '120'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"86","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","125","The String literal 'hotelBean' appears 6 times in this file; the first occurrence is on line 125","String and StringBuffer Rules","AvoidDuplicateLiterals"
"87","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","126","Found 'DU'-anomaly for variable 'viewname1' (lines '126'-'136').","Controversial Rules","DataflowAnomalyAnalysis"
"88","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","133","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"89","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","133","The String literal 'error' appears 4 times in this file; the first occurrence is on line 133","String and StringBuffer Rules","AvoidDuplicateLiterals"
"90","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","145","Found 'DD'-anomaly for variable 'hotelList' (lines '145'-'148').","Controversial Rules","DataflowAnomalyAnalysis"
"91","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","148","Found 'DD'-anomaly for variable 'hotelList' (lines '148'-'149').","Controversial Rules","DataflowAnomalyAnalysis"
"92","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","152","Found 'DU'-anomaly for variable 'viewName1' (lines '152'-'162').","Controversial Rules","DataflowAnomalyAnalysis"
"93","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","159","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"94","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","170","Found 'DD'-anomaly for variable 'list' (lines '170'-'171').","Controversial Rules","DataflowAnomalyAnalysis"
"95","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","171","Found 'DD'-anomaly for variable 'list' (lines '171'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"96","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","191","Local variable 'amount' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
